Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Human papillomavirus infection	199/331	3.621275e-04	1.053462e-02	0	0	1.469883e+00	1.164664e+01	PATJ;MAML2;MAML1;PPP2R2A;FZD10;RBPJ;PPP2R1B;CREB3L4;AKT2;CREB3L1;AKT3;AKT1;ATP6V1E1;PRKACA;PRKACB;HES6;ATP6V1G1;PRKCI;ATP6V0E1;ATP6V1G2;HLA-B;HLA-C;SCRIB;HLA-A;HLA-F;HLA-G;TP53;LLGL1;LLGL2;PIK3R3;PIK3R2;PIK3R1;PRKCZ;ATP6V0A2;ATP6V0A4;FADD;ATP6V1C1;ATP6V1C2;FZD1;CREBBP;FZD3;WNT10A;FZD2;FZD5;FZD4;FZD6;FN1;PTK2;COL1A1;COL1A2;ATM;COL9A3;GRB2;COL9A2;ATR;IKBKB;LFNG;IKBKE;JAK1;ATP6V0B;TUBG2;TYK2;WNT9A;COL2A1;NFX1;ATP6V0C;TLR3;PTGER4;TNXB;PTGS2;EGFR;PPP2CB;NRAS;SPP1;ATP6V0E2;CSNK1A1;STAT1;STAT2;VEGFA;HEYL;PSMC1;CTNNB1;FAS;CRB3;TNC;UBE3A;COMP;CCND2;IBSP;TNN;EP300;IFNAR2;MAGI1;PDGFRB;MAP2K1;MAP2K2;WNT5A;TSC2;TSC1;CCNE2;COL4A2;CCNE1;COL4A1;COL4A4;MFNG;COL4A3;COL4A5;RAF1;IFNAR1;ATP6V1A;NOTCH2;NOTCH4;PXN;UBR4;FOXO1;SLC9A3R1;WNT6;CHAD;ATP6V1H;DVL3;ATP6V1D;ISG15;DLG1;DLG3;RHEB;CDK2;GNAS;MDM2;ITGB1;GSK3B;WNT2B;ITGB5;ITGB4;PTEN;CHD4;LAMC2;LAMC1;PIK3CB;TCIRG1;OASL;PPP2R5E;ITGB8;ATP6AP1;CHUK;ITGA4;VWF;ITGA3;ITGA2;ITGA1;AXIN1;PPP2R5A;PPP2R5C;CCNA2;RBL2;CREB1;PKM;RBL1;IRF3;PIK3CA;COL6A2;IRF1;COL6A1;ITGA7;COL6A6;SOS1;SOS2;IRF9;ATP6V1B1;CREB5;ITGA9;LAMA5;LAMA2;HDAC1;LAMA4;PARD6G;THBS1;THBS4;THBS3;CDC42;PARD6B;PARD6A;WNT11;PPP2R3C;E2F1;MAPK1;HES1;BAK1;HES4;TCF7L2;TCF7L1;MX1;LAMB1;PPP2R3B;PPP2R3A;APC;PPP2R2C;RPS6KB2;BAX;KRAS
KEGG_2021_Human	Fanconi anemia pathway	40/54	4.006034e-04	1.068276e-02	0	0	2.775252e+00	2.170952e+01	MUS81;BLM;WDR48;BRCA1;BRCA2;BRIP1;SLX4;EME1;EME2;REV3L;USP1;POLI;HES1;POLK;ATRIP;POLH;FAAP100;TOP3B;FANCI;RMI2;FANCM;RMI1;FANCL;TOP3A;FANCA;RPA1;FANCC;FANCB;FANCE;PALB2;FANCG;FANCF;RAD51C;RAD51;FANCD2;ERCC1;UBE2T;SLX1A;TELO2;ATR
KEGG_2021_Human	Renal cell carcinoma	49/69	4.983140e-04	1.226619e-02	0	0	2.380443e+00	1.810156e+01	ARAF;SLC2A1;PIK3CB;AKT2;AKT3;AKT1;EP300;RAC1;MAP2K1;MAP2K2;HGF;TFE3;GAB1;ARNT;PIK3CA;RAF1;SOS1;CRK;SOS2;FH;EPAS1;CUL2;PRCC;PDGFB;PIK3R3;PIK3R2;PIK3R1;CDC42;RAP1B;NRAS;PAK1;RAP1A;MAPK1;PAK6;PAK3;PAK2;PAK4;EGLN1;ARNT2;CREBBP;EGLN3;JUN;TGFB2;TGFB3;BRAF;PTPN11;VEGFA;GRB2;KRAS
KEGG_2021_Human	Colorectal cancer	59/86	5.997258e-04	1.274819e-02	0	0	2.123734e+00	1.575607e+01	GSK3B;ARAF;PIK3CB;AREG;AKT2;AKT3;AKT1;POLK;RAC1;MAP2K1;MAP2K2;AXIN1;FOS;RHOA;TGFBR1;DDB2;TGFBR2;MSH6;PIK3CA;MSH3;BIRC5;RAF1;SOS1;SOS2;TP53;RALB;LEF1;PIK3R3;PIK3R2;PIK3R1;EGFR;MAPK9;MAPK8;NRAS;BCL2L11;MAPK1;PMAIP1;BAK1;RALGDS;SMAD2;TCF7L2;JUN;SMAD4;TCF7L1;TGFB2;SMAD3;GADD45B;TGFB3;BRAF;GADD45G;MAPK10;APC;RPS6KB2;BCL2;BAX;CTNNB1;CYCS;GRB2;KRAS
KEGG_2021_Human	Adherens junction	50/71	6.009997e-04	1.274819e-02	0	0	2.313349e+00	1.715792e+01	PTPRM;PTPRJ;ACTB;PTPRF;ACTG1;IGF1R;CDH1;EP300;RAC1;ACP1;MAP3K7;CSNK2A1;CSNK2A2;LMO7;ACTN4;RHOA;TGFBR1;TGFBR2;SSX2IP;SRC;LEF1;NLK;EGFR;CDC42;ERBB2;CTNNA1;MAPK1;FYN;WASF1;WASF3;FARP2;PTPN1;TCF7L2;CREBBP;SMAD4;TCF7L1;SMAD3;INSR;SORBS1;BAIAP2;TJP1;AFDN;FER;PTPRB;CTNNB1;PTPN6;NECTIN4;NECTIN3;NECTIN2;FGFR1
KEGG_2021_Human	Choline metabolism in cancer	66/98	6.500977e-04	1.274819e-02	0	0	2.004868e+00	1.471250e+01	SLC44A5;DGKE;SLC44A3;DGKD;SLC44A4;SLC44A1;SLC44A2;DGKA;PIK3CB;AKT2;AKT3;AKT1;RAC1;PDGFRB;PDGFRA;MAP2K1;LYPLA1;MAP2K2;PCYT1A;PDPK1;PLA2G4B;TSC2;PLA2G4A;PRKCA;TSC1;FOS;GPCPD1;DGKZ;PIK3CA;DGKQ;PLPP3;RAF1;SOS1;PLPP2;SOS2;PLPP1;DGKH;SLC22A4;SLC22A3;SLC22A5;PDGFB;PDGFA;PIK3R3;PIK3R2;PIK3R1;PLD1;EGFR;MAPK9;MAPK8;NRAS;PDGFD;PIP5K1A;MAPK1;PIP5K1C;PLCG1;WASF1;RALGDS;WASF3;JUN;CHKA;MAPK10;RHEB;RPS6KB2;GRB2;CHPT1;KRAS
KEGG_2021_Human	Mitophagy	48/68	7.064340e-04	1.274819e-02	0	0	2.331632e+00	1.691665e+01	BECN1;CALCOCO2;CITED2;SRC;AMBRA1;GABARAP;BCL2L13;MAPK9;MAPK8;NRAS;RHOT2;RHOT1;RRAS;UBC;E2F1;USP30;RPS27A;TBC1D15;ATG5;BNIP3L;GABARAPL2;USP8;FIS1;GABARAPL1;JUN;CSNK2A1;ATG9B;BNIP3;CSNK2A2;TFE3;TFEB;EIF2AK3;RRAS2;MITF;MAPK10;PINK1;MRAS;NBR1;TAX1BP1;PGAM5;ULK1;KRAS;RAB7B;SQSTM1;TP53;UBA52;OPTN;BCL2L1
KEGG_2021_Human	p53 signaling pathway	51/73	7.170855e-04	1.274819e-02	0	0	2.252354e+00	1.630776e+01	STEAP3;CD82;GORAB;SERPINE1;PTEN;TP53AIP1;PIDD1;CCND2;SESN3;AIFM2;CHEK2;SESN1;CHEK1;GTSE1;APAF1;SHISA5;TSC2;SERPINB5;DDB2;CCNE2;CCNE1;TP53;THBS1;CCNB2;CCNB1;ZMAT3;PERP;PMAIP1;SFN;RRM2;GADD45B;SIVA1;CDKN2A;SIAH1;TNFRSF10A;IGF1;GADD45G;CCNG2;CCNG1;CDK2;BCL2;CDK1;MDM2;BAX;CYCS;FAS;ATM;MDM4;ATR;BCL2L1;TP73
KEGG_2021_Human	Fluid shear stress and atherosclerosis	89/139	1.081259e-03	1.804117e-02	0	0	1.731032e+00	1.182231e+01	BMPR2;HSP90AB1;CALML5;NCF2;SUMO4;CALML4;PIK3CB;ACTB;ACTG1;TXN2;IKBKB;CDH5;THBD;CTSL;AKT2;SUMO3;AKT3;AKT1;RAC1;MAP3K7;MAP3K5;MEF2A;PIAS4;MEF2C;EDN1;HSP90AA1;CHUK;GSTO2;DUSP1;IL1R2;FOS;MMP9;RHOA;PIK3CA;PECAM1;ARHGEF2;SQSTM1;TP53;PRKAA1;SDC4;SRC;MGST3;SDC2;GSTP1;MGST1;PDGFB;PDGFA;PIK3R3;GSTT1;PIK3R2;PIK3R1;PRKCZ;MAPK9;MAPK8;MAPK7;GPC1;CCL2;MAP2K7;MAP2K5;GSTM4;GSTM3;NQO1;GSTM2;JUN;GSTM1;CAV2;NOS3;CAV1;MAPK14;ACVR2B;PTK2;ACVR2A;ASS1;KLF2;MAPK12;MAPK13;VEGFA;BMP4;MAPK10;GSTA4;BCL2;SDC1;CTNNB1;CALM3;BMPR1B;CALM1;BMPR1A;GSTM5;NFE2L2
KEGG_2021_Human	Tight junction	106/169	1.127573e-03	1.804117e-02	0	0	1.636844e+00	1.111039e+01	PATJ;ARPC5L;PPP2R2A;F11R;ACTB;ACTG1;PPP2R1B;PRKACA;SYNPO;BVES;PRKACB;MAP3K5;MAGI1;PRKCI;PRKCE;SCRIB;ACTN4;TUBA4A;CLDN5;TIAM1;CLDN4;MYL6;CLDN3;CLDN7;EZR;MYL9;LLGL1;LLGL2;IGSF5;NEDD4L;CACNA1D;ACTR3B;PRKCZ;MYL12A;MYL12B;SLC9A3R1;RAP1A;MYH14;SYMPK;MAP2K7;MPDZ;MYH10;VASP;JUN;HSPA4;RDX;CGN;TJAP1;AFDN;DLG1;OCLN;DLG3;AMOTL2;AMOTL1;NF2;ITGB1;ARPC1B;PRKAG1;PRKAG2;MYL6B;YBX3;EPB41L4B;TUBA1C;TUBA1B;RAC1;RAB8A;RAB8B;ACTR3;ACTR2;ARHGEF18;RHOA;CLDN11;CLDN10;CLDN15;CTTN;MYH9;RAPGEF2;ARHGEF2;RAPGEF6;PRKAA1;PCNA;ROCK1;TUBAL3;ROCK2;SRC;PARD6G;CDC42;MAPK9;PPP2CB;MAPK8;PARD6B;TUBA3D;PARD6A;MARVELD2;ERBB2;MARVELD3;MICALL2;WHAMM;JAM2;MAP3K1;MAPK10;TJP1;PPP2R2C;TJP3;CRB3;TJP2
KEGG_2021_Human	Pancreatic cancer	52/76	1.364826e-03	2.079735e-02	0	0	2.104921e+00	1.388559e+01	ARAF;PIK3CB;BRCA2;IKBKB;AKT2;AKT3;AKT1;POLK;RAC1;JAK1;MAP2K1;RALBP1;CHUK;TGFBR1;DDB2;TGFBR2;PIK3CA;RAF1;TP53;ARHGEF6;RALB;PIK3R3;PIK3R2;PIK3R1;PLD1;EGFR;CDC42;MAPK9;MAPK8;ERBB2;E2F1;MAPK1;E2F3;BAK1;RALGDS;SMAD2;SMAD4;TGFB2;SMAD3;GADD45B;CDKN2A;STAT1;TGFB3;BRAF;GADD45G;VEGFA;MAPK10;RAD51;RPS6KB2;BAX;KRAS;BCL2L1
KEGG_2021_Human	Progesterone-mediated oocyte maturation	66/100	1.472866e-03	2.142351e-02	0	0	1.886550e+00	1.230133e+01	HSP90AB1;PDE3B;ARAF;PIK3CB;IGF1R;RPS6KA3;STK10;RPS6KA6;CDC23;AKT2;CDC26;SPDYE2;AKT3;CDC27;RPS6KA1;AKT1;PRKACA;PRKACB;MAP2K1;HSP90AA1;ANAPC7;KIF22;CDC25C;CDC25A;CDC25B;CCNA2;ADCY9;PIK3CA;ANAPC4;ANAPC5;RAF1;ANAPC2;ANAPC13;ADCY4;PIK3R3;PIK3R2;PIK3R1;ADCY1;PKMYT1;ANAPC10;ADCY6;GNAI1;ADCY5;AURKA;CCNB2;MAPK9;CCNB1;FZR1;MAPK8;MAPK1;BUB1;PLK1;BRAF;IGF1;MAPK14;MAPK12;MAPK13;MAPK10;CPEB1;SPDYE2B;CDC16;CDK2;CDK1;KRAS;CPEB3;MAD2L1
KEGG_2021_Human	Thyroid hormone signaling pathway	78/121	1.611948e-03	2.170885e-02	0	0	1.763386e+00	1.133912e+01	GSK3B;THRB;THRA;ATP2A3;SLC2A1;ATP2A2;PIK3CB;MED16;ACTB;ACTG1;MED12;MED14;MED13;SIN3A;AKT2;AKT3;AKT1;EP300;PRKACA;SLC16A2;PRKACB;NCOA1;MED1;NCOA2;MAP2K1;MAP2K2;PDPK1;NCOA3;DIO1;DIO3;TSC2;PRKCA;ATP1B1;MED4;MED27;SLCO1C1;KAT2B;KAT2A;NCOR1;PLCB4;PIK3CA;TBC1D4;RAF1;TP53;MYH6;NOTCH2;PFKFB2;HDAC1;SRC;NOTCH4;ATP1A4;PIK3R3;PIK3R2;ATP1A2;PIK3R1;ATP1A1;FOXO1;SLC9A1;RXRB;NRAS;PLN;RXRA;MAPK1;PLCG1;CREBBP;STAT1;ESR1;MED13L;BMP4;PFKL;RHEB;RCAN2;MDM2;CTNNB1;KRAS;PLCD4;PFKP;PLCD1
KEGG_2021_Human	Endometrial cancer	41/58	1.628164e-03	2.170885e-02	0	0	2.342156e+00	1.503735e+01	GSK3B;LEF1;ARAF;PTEN;ILK;PIK3R3;PIK3R2;PIK3CB;PIK3R1;ELK1;EGFR;NRAS;CDH1;AKT2;AKT3;ERBB2;CTNNA1;AKT1;MAPK1;POLK;BAK1;TCF7L2;MAP2K1;TCF7L1;MAP2K2;GADD45B;PDPK1;AXIN1;BRAF;DDB2;GADD45G;PIK3CA;APC;BAX;CTNNB1;GRB2;KRAS;RAF1;SOS1;SOS2;TP53
KEGG_2021_Human	Vibrio cholerae infection	36/50	1.840735e-03	2.272372e-02	0	0	2.496740e+00	1.572344e+01	ERO1A;ATP6V1A;ARF1;KDELR1;TCIRG1;ACTB;ACTG1;SEC61A2;SEC61A1;ATP6V0A2;ATP6V1H;ATP6V0A4;SEC61B;PLCG1;ATP6V1E1;PRKACA;ATP6V0E2;PRKACB;ATP6V1D;ATP6V1C1;ATP6V1C2;SLC12A2;ATP6V0B;ATP6V1G1;ATP6V0E1;ATP6V1G2;ATP6AP1;PRKCA;PDIA4;TJP1;ADCY9;GNAS;KDELR3;ATP6V0C;ATP6V1B1;TJP2
KEGG_2021_Human	Glioma	51/75	1.867619e-03	2.272372e-02	0	0	2.064238e+00	1.296979e+01	CALML5;ARAF;PTEN;CALML4;PIK3CB;IGF1R;AKT2;AKT3;AKT1;POLK;PDGFRB;PDGFRA;MAP2K1;CAMK1D;MAP2K2;PRKCA;DDB2;PIK3CA;RAF1;SOS1;SOS2;TP53;CAMK2B;SHC4;CAMK2D;SHC1;PDGFB;PDGFA;PIK3R3;PIK3R2;PIK3R1;EGFR;NRAS;E2F1;MAPK1;E2F3;BAK1;PLCG1;CAMK2G;GADD45B;CDKN2A;BRAF;IGF1;GADD45G;MDM2;BAX;CALM3;GRB2;KRAS;CAMK1;CALM1
